序号,项目名称,项目全名,项目链接,仓库描述,主页网址,项目语言,星标数,Fork数,Watch数,Open_Issues,默认分支,创建时间,更新时间,推送时间,仓库大小_KB,是否为Fork,是否私有,Topics,License,Owner,Owner类型
1114,AnywhereAnything-2,ABC1319/AnywhereAnything-2,https://github.com/ABC1319/AnywhereAnything-2,临摹的一个网址导航，原作http://lackar.com/aa/,,,0,0,0,0,master,2024-02-01T07:48:09Z,2024-02-01T07:48:09Z,2018-02-27T06:49:10Z,123,True,False,,,ABC1319,User
1115,anywhereanything,ABC1319/anywhereanything,https://github.com/ABC1319/anywhereanything,,,,0,0,0,0,master,2024-02-01T07:46:22Z,2024-02-01T07:46:22Z,2018-04-18T14:19:57Z,620,True,False,,,ABC1319,User
1116,getFavicon,ABC1319/getFavicon,https://github.com/ABC1319/getFavicon,获取网站的Favicon图标并显示在你的网页上.,,,0,0,0,0,master,2024-02-01T06:14:42Z,2024-02-01T06:14:42Z,2023-04-12T07:26:40Z,35,True,False,,MIT,ABC1319,User
1117,GitHub-English-Top-Charts,ABC1319/GitHub-English-Top-Charts,https://github.com/ABC1319/GitHub-English-Top-Charts,Help you discover excellent English projects and get rid of disturbing by other spoken language.,,,0,0,0,0,main,2024-02-01T01:56:57Z,2024-02-01T01:56:57Z,2024-01-31T02:55:47Z,74329,True,False,,NOASSERTION,ABC1319,User
1118,GitHub-Chinese-Top-Charts,ABC1319/GitHub-Chinese-Top-Charts,https://github.com/ABC1319/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,,,0,0,0,0,master,2024-02-01T01:55:48Z,2024-02-01T01:55:48Z,2024-01-31T02:55:46Z,62210,True,False,,NOASSERTION,ABC1319,User
1119,Clone-Wars,ABC1319/Clone-Wars,https://github.com/ABC1319/Clone-Wars,"100+ open-source clones of popular sites like Airbnb, Amazon, Instagram, Netflix, Tiktok, Spotify, Whatsapp, Youtube etc. See source code, demo links, tech stack, github stars.",https://gourav.io/clone-wars,,0,0,0,0,main,2024-02-01T01:39:46Z,2024-02-01T01:39:46Z,2024-01-24T12:19:58Z,2101,True,False,,AGPL-3.0,ABC1319,User
1120,miniPaint,ABC1319/miniPaint,https://github.com/ABC1319/miniPaint,online image editor,http://viliusle.github.io/miniPaint/,,0,0,0,0,master,2024-02-01T01:33:45Z,2024-02-01T01:33:45Z,2024-01-11T04:50:32Z,22968,True,False,,NOASSERTION,ABC1319,User
1121,aicover,ABC1319/aicover,https://github.com/ABC1319/aicover,ai cover generator,https://aicover.design,,0,0,0,0,main,2024-01-31T15:39:23Z,2024-01-31T15:39:23Z,2024-01-31T09:08:33Z,1888,True,False,,Apache-2.0,ABC1319,User
1122,iLx11,ABC1319/iLx11,https://github.com/ABC1319/iLx11,资源和笔记,https://ilx11.github.io/,,0,0,0,0,master,2024-01-31T05:12:04Z,2024-01-31T05:14:16Z,2023-11-16T02:59:00Z,2554,True,False,,,ABC1319,User
1123,gh-proxy,ABC1319/gh-proxy,https://github.com/ABC1319/gh-proxy,github release、archive以及项目文件的加速项目,,,0,0,0,0,master,2024-01-30T12:07:02Z,2024-01-30T12:07:02Z,2023-12-02T13:09:37Z,44,True,False,,MIT,ABC1319,User
1124,videoproject,ABC1319/videoproject,https://github.com/ABC1319/videoproject,基于python的视频点播网站，视频点播系统，python+Django开发的视频管理系统 - 毕业设计 - 课程设计,http://v.gitapp.cn,,0,0,0,0,master,2024-01-30T09:37:04Z,2024-01-30T09:37:04Z,2024-01-26T09:30:25Z,4752,True,False,,,ABC1319,User
1125,software,ABC1319/software,https://github.com/ABC1319/software,之前写的一些实用小工具,,,0,0,0,0,master,2024-01-30T04:14:22Z,2024-01-30T04:14:22Z,2023-12-11T15:20:39Z,190195,True,False,,,ABC1319,User
